var1,var2,temp
  58,1128,hot
 239,1237,hot
 156,1433,hot
 262,1421,hot
 185,1541,hot
 180,1448,hot
 255,1442,hot
 284,1528,hot
 134,1556,hot
 430,1325,hot
 333,1308,hot
 337,1282,hot
  16, 955,hot
 232,1045,hot
 276,1101,hot
 402, 910,hot
  33, 879,hot
 142, 942,hot
 238, 885,hot
 155, 894,hot
  40,1087,hot
 122,1107,hot
  41,1184,hot
  19,1168,hot
   0,1346,hot
 -15,1473,hot
 208,1408,hot
 198,1425,hot
 294,1452,hot
 479,1459,hot
 223,1445,hot
 190,1292,hot
 233,1134,hot
 562,1112,hot
 250,1224,hot
 302, 954,hot
 419, 985,hot
 303, 727,hot
 332, 887,hot
 483, 832,hot
 235, 782,hot
  93, 853,hot
 147, 660,hot
  79,1105,hot
 167, 954,hot
 119,1343,hot
 334,1175,hot
  77,1659,hot
 135,1432,hot
 302,1540,hot
 175,1320,hot
 439,1516,hot
 574,1377,hot
 584,1273,hot
 320,1457,hot
 237,1107,hot
 346,1163,hot
 439,1059,hot
 615,1253,hot
 540, 895,hot
 486, 960,hot
 329, 933,hot
 244,1144,hot
 214,1149,hot
 185,1182,hot
 276,1400,hot
 362,1310,hot
 414,1366,hot
 354,1385,hot
 319,1384,hot
  80,1426,hot
 443,1553,hot
 421,1104,hot
 490,1005,hot
 319,1250,hot
 632,1068,hot
 229, 910,hot
 563,1144,cold
 700,1116,cold
 634,1351,cold
 653,1315,cold
 588,1552,cold
 870,1266,cold
 652,1484,cold
 702,1432,cold
 706,1436,cold
 699,1317,cold
 848,1508,cold
 815,1522,cold
 684,1426,cold
 854,1168,cold
 793, 881,cold
 698, 892,cold
 671,1138,cold
 791, 820,cold
 778,1004,cold
1030, 966,cold
 654, 983,cold
 806,1301,cold
 928,1372,cold
 996,1463,cold
1054,1425,cold
 973,1594,cold
 702,1374,cold
 912,1522,cold
1075,1539,cold
1035,1410,cold
 954,1011,cold
1088,1072,cold
 898,1042,cold
1094,1135,cold
1013,1073,cold
 942, 908,cold
1215,1129,cold
 954, 987,cold
1077,1208,cold
1093,1555,cold
1162,1556,cold
1049,1266,cold
1043,1199,cold
1037,1418,cold
1000,1425,cold
1309,1229,cold
1103,1528,cold
1015,1402,cold
1190,1188,cold
1141,1279,cold
1121,1149,cold
1267,1004,cold
1275, 814,cold
1102, 947,cold
1094,1126,cold
1148,1174,cold
1232,1025,cold
1060,1010,cold
1064,1304,cold
1108,1056,cold
1319,1365,cold
1443,1552,cold
1370,1675,cold
1376,1699,cold
1389,1489,cold
1281,1703,cold
1299,1765,cold
1098,1498,cold
1332,1197,cold
1173,1270,cold
1422,1313,cold
1460,1221,cold
1319, 991,cold
1353,1006,cold
1245,1166,cold
1299,1026,cold
1388, 957,cold
1562,1016,cold
1555,1353,cold
1568,1729,cold
1550,1378,cold
1434,1429,cold
1407,1408,cold
1420,1482,cold
1425,1663,cold
1426,1300,cold
1382,1049,cold
1427,1278,cold
1716,1113,cold
1443, 792,cold
1799,1232,cold
1654, 896,cold
1496, 766,cold
1628, 960,cold
1554,1032,cold
1805,1127,cold
1820,1273,cold
2002,1344,cold
1797,1412,cold
1691,1438,cold
1747,1428,cold
1803,1240,cold
1904,1411,cold
1756,1228,cold
1901,1378,cold
1851,1226,cold
1735,1136,cold
1810, 949,cold
1773, 995,cold
1910, 937,cold
1976, 848,cold
1991,1086,cold
2163,1168,cold
1980,1175,cold
2177,1238,cold
2531,1484,cold
2299,1487,cold
2188,1349,cold
2214,1392,cold
2138,1575,cold
2262,1566,cold
1992,1384,cold
2089,1645,cold
2013,1514,cold
1999,1419,cold
1950,1288,cold
2193,1173,cold
2014,1339,cold
2159,1250,cold
2162,1073,cold
2488,1025,cold
2454,1130,cold
2524,1103,cold
2577, 980,cold
2542,1124,cold
2666,1132,cold
2417,1236,cold
2666,1290,cold
2574,1110,cold
2486,1425,cold
2570,1252,cold
2591,1149,cold
2534,1181,cold
2667,1290,cold
2543,1123,cold
2519,1122,cold
2561,1206,cold
2677,1183,cold
2793,1319,cold
2679,1157,cold
2737,1288,cold
2690,1189,cold
2499,1086,cold
2540,1155,cold
2659,1012,cold
2526,1087,cold
2475, 917,cold
2369,1362,cold
2434,1089,cold
2530, 991,cold
 877,1103,cold
2767,2268,cold
2715,2570,cold
2880,2442,cold
2835,2510,cold
  53, 146,hot
 123, 386,hot
 -59,-120,hot
  67,  77,hot
  76,-174,hot
 186, 207,hot
  54,   7,hot
  46, 118,hot
 111,  61,hot
 251, -39,hot
